Method,Total Return (%),Sharpe Ratio,Max Drawdown (%),Accuracy (%),Win Rate (%),Total Trades,Volatility (%),Avg Confidence
baseline_original,-2.6104747494484437,-4.242640687119286,-2.6104747494484437,14.285714285714285,0.0,1,11.075306384707487,0.41333333333333344
baseline_simple,2.7132155348108533,1.6740908881279097,-4.74125042147633,71.42857142857143,61.53846153846154,13,31.589454700800268,0.7400000000000002
role_based,5.172293927315286,3.2738973383531875,-5.077848805745056,64.28571428571429,66.66666666666666,12,28.970724674449233,0.7883333333333333
